Title,Year,Age,Rating,Netflix,Hulu,Prime Video,Disney+
Cloudy with a Chance of Meatballs 2,2013,7+,72/100,1,0,0,0
Turbo,2013,7+,72/100,1,0,0,0
G.I. Joe: The Rise of Cobra,2009,13+,72/100,1,0,0,0
Horns,2013,18+,72/100,1,0,0,0
Drishyam,2015,18+,72/100,1,0,0,0
Triple Frontier,2019,18+,72/100,1,0,0,0
"Hail, Caesar!",2016,13+,72/100,1,0,0,0
The Ice Road,2021,13+,72/100,1,0,0,0
Monster House,2006,7+,72/100,1,0,0,0
Freaks,2019,18+,72/100,1,0,0,0
Felon,2008,18+,72/100,1,0,0,0
Horse Girl,2020,18+,72/100,1,0,0,0
A Christmas Prince,2017,7+,72/100,1,0,1,0
Hillbilly Elegy,2020,18+,72/100,1,0,0,0
American Ultra,2015,18+,72/100,1,0,0,0
First Match,2018,18+,72/100,1,0,0,0
The Pelican Brief,1993,13+,72/100,1,0,0,0
The Tourist,2010,13+,72/100,1,0,0,0
The Dawn Wall,2017,16+,72/100,1,0,0,0
I'm Thinking of Ending Things,2020,18+,71/100,1,0,0,0
Shutter,2004,18+,71/100,1,0,0,0
Surf's Up,2007,7+,71/100,1,0,1,0
The Twilight Saga: Breaking Dawn - Part 2,2012,13+,71/100,1,0,0,0
Jagga Jasoos,2017,7+,71/100,1,0,0,0
The Burial of Kojo,2018,,71/100,1,0,0,0
My Best Friend's Wedding,1997,13+,71/100,1,0,0,0
Bee Movie,2007,7+,71/100,1,0,0,0
Seoul Searching,2015,18+,71/100,1,0,0,0
Before I Fall,2017,13+,71/100,1,0,0,0
The Babysitter,2017,18+,71/100,1,0,0,0
After,2019,13+,71/100,1,0,0,0
"As Above, So Below",2014,18+,71/100,1,0,0,0
Bo Burnham: What.,2013,18+,71/100,1,0,0,0
Stree,2018,,71/100,1,0,1,0
Velvet Buzzsaw,2019,18+,71/100,1,0,0,0
Savages,2012,18+,71/100,1,0,0,0
Jupiter Ascending,2015,13+,71/100,1,0,0,0
Spectral,2016,13+,71/100,1,0,0,0
Resident Evil: Afterlife,2010,18+,71/100,1,1,0,0
Accepted,2006,13+,71/100,1,0,0,0
